event,kind,center,horizon_days,metric,before_mean,after_mean,before_observations,after_observations,change
2019-04-02,loss,2019-04-02,1,orders,1.0,76.0,1,1,75.0
2019-04-02,loss,2019-04-02,1,median_order_usd,700000.0,600000.0,1,1,-100000.0
2019-04-02,loss,2019-04-02,1,peak_btc_gross_face_usd,1400137.0,3049378.0,1,1,1649241.0
2019-04-02,loss,2019-04-02,1,peak_to_prior_equity,1.786076567786493,4.621666563017541,1,1,2.8355899952310484
2019-04-02,loss,2019-04-02,1,btc_short_hours,24.0,7.364018627777779,1,1,-16.635981372222222
2019-04-02,loss,2019-04-02,7,orders,4.0,28.714285714285715,7,7,24.714285714285715
2019-04-02,loss,2019-04-02,7,median_order_usd,599939.6666666666,629192.0,6,7,29252.333333333372
2019-04-02,loss,2019-04-02,7,peak_btc_gross_face_usd,1331957.142857143,2129225.5714285714,7,7,797268.4285714284
2019-04-02,loss,2019-04-02,7,peak_to_prior_equity,1.7775377090471864,2.8275932708768687,7,7,1.0500555618296823
2019-04-02,loss,2019-04-02,7,btc_short_hours,18.491253571309525,8.750755848531746,7,7,-9.740497722777778
2019-04-02,loss,2019-04-02,30,orders,4.1,25.2,30,30,21.1
2019-04-02,loss,2019-04-02,30,median_order_usd,502808.847826087,667446.3,23,30,164637.45217391307
2019-04-02,loss,2019-04-02,30,peak_btc_gross_face_usd,978824.3333333334,2581235.1333333333,30,30,1602410.7999999998
2019-04-02,loss,2019-04-02,30,peak_to_prior_equity,1.3774901851226171,3.054224192355332,30,30,1.676734007232715
2019-04-02,loss,2019-04-02,30,btc_short_hours,20.818368581175932,14.573948562916666,30,30,-6.244420018259266
2019-04-02,matched_control,2019-09-24,1,orders,0.0,11.0,1,1,11.0
2019-04-02,matched_control,2019-09-24,1,median_order_usd,,2000000.0,0,1,
2019-04-02,matched_control,2019-09-24,1,peak_btc_gross_face_usd,576.0,6000457.0,1,1,5999881.0
2019-04-02,matched_control,2019-09-24,1,peak_to_prior_equity,0.0002928078280343665,3.49362021589659,1,1,3.4933274080685557
2019-04-02,matched_control,2019-09-24,1,btc_short_hours,0.0,23.80246497638889,1,1,23.80246497638889
2019-04-02,matched_control,2019-09-24,7,orders,1.5714285714285714,7.857142857142857,7,7,6.285714285714286
2019-04-02,matched_control,2019-09-24,7,median_order_usd,1118312.0,1853301.0,2,6,734989.0
2019-04-02,matched_control,2019-09-24,7,peak_btc_gross_face_usd,571939.4285714285,3794689.8571428573,7,7,3222750.4285714286
2019-04-02,matched_control,2019-09-24,7,peak_to_prior_equity,0.28207668648587175,2.1543328430164275,7,7,1.8722561565305558
2019-04-02,matched_control,2019-09-24,7,btc_short_hours,13.582672140793651,23.971780710912697,7,7,10.389108570119046
2019-04-02,matched_control,2019-09-24,30,orders,4.233333333333333,3.1,30,30,-1.1333333333333333
2019-04-02,matched_control,2019-09-24,30,median_order_usd,1786937.2105263157,1769939.775,19,20,-16997.43552631582
2019-04-02,matched_control,2019-09-24,30,peak_btc_gross_face_usd,2053637.3333333333,2152445.4,30,30,98808.06666666665
2019-04-02,matched_control,2019-09-24,30,peak_to_prior_equity,0.9635812584509917,1.1887893863166712,30,30,0.22520812786567945
2019-04-02,matched_control,2019-09-24,30,btc_short_hours,17.05390181307407,18.87343627650926,30,30,1.8195344634351898
2020-04-03,loss,2020-04-03,1,orders,2.0,0.0,1,1,-2.0
2020-04-03,loss,2020-04-03,1,median_order_usd,2000000.0,,1,0,
2020-04-03,loss,2020-04-03,1,peak_btc_gross_face_usd,4000315.0,6000189.0,1,1,1999874.0
2020-04-03,loss,2020-04-03,1,peak_to_prior_equity,0.9972424640906447,1.6973977248410144,1,1,0.7001552607503697
2020-04-03,loss,2020-04-03,1,btc_short_hours,24.0,24.0,1,1,0.0
2020-04-03,loss,2020-04-03,7,orders,6.571428571428571,5.0,7,7,-1.5714285714285712
2020-04-03,loss,2020-04-03,7,median_order_usd,945596.2142857143,1347967.8,7,5,402371.5857142857
2020-04-03,loss,2020-04-03,7,peak_btc_gross_face_usd,5433129.571428572,7714658.0,7,7,2281528.428571428
2020-04-03,loss,2020-04-03,7,peak_to_prior_equity,1.5062912796335348,2.2204857133837352,7,7,0.7141944337502004
2020-04-03,loss,2020-04-03,7,btc_short_hours,23.038331916111108,24.0,7,7,0.9616680838888918
2020-04-03,loss,2020-04-03,30,orders,23.5,6.633333333333334,30,30,-16.866666666666667
2020-04-03,loss,2020-04-03,30,median_order_usd,1038665.0,1702131.0454545454,27,22,663466.0454545454
2020-04-03,loss,2020-04-03,30,peak_btc_gross_face_usd,5126136.033333333,5175188.0,30,30,49051.96666666679
2020-04-03,loss,2020-04-03,30,peak_to_prior_equity,1.5186241335958974,1.3428743955114122,30,30,-0.17574973808448524
2020-04-03,loss,2020-04-03,30,btc_short_hours,21.73639603955555,15.148624576305556,30,30,-6.587771463249995
2020-10-21,loss,2020-10-21,1,orders,4.0,15.0,1,1,11.0
2020-10-21,loss,2020-10-21,1,median_order_usd,3490522.5,2161000.0,1,1,-1329522.5
2020-10-21,loss,2020-10-21,1,peak_btc_gross_face_usd,30000915.0,15000858.0,1,1,-15000057.0
2020-10-21,loss,2020-10-21,1,peak_to_prior_equity,4.1593787123855,2.240531513044322,1,1,-1.9188471993411782
2020-10-21,loss,2020-10-21,1,btc_short_hours,24.000000000000004,20.928895863055555,1,1,-3.0711041369444487
2020-10-21,loss,2020-10-21,7,orders,3.7142857142857144,6.142857142857143,7,7,2.428571428571429
2020-10-21,loss,2020-10-21,7,median_order_usd,3299555.1,2147003.3333333335,5,3,-1152551.7666666666
2020-10-21,loss,2020-10-21,7,peak_btc_gross_face_usd,15429015.714285715,12607163.857142856,7,7,-2821851.857142858
2020-10-21,loss,2020-10-21,7,peak_to_prior_equity,2.08087853332033,1.8611516420938183,7,7,-0.21972689122651157
2020-10-21,loss,2020-10-21,7,btc_short_hours,13.362293509087303,7.320252346746032,7,7,-6.042041162341271
2020-10-21,loss,2020-10-21,30,orders,3.466666666666667,13.1,30,30,9.633333333333333
2020-10-21,loss,2020-10-21,30,median_order_usd,2950309.411764706,3271992.0,17,19,321682.588235294
2020-10-21,loss,2020-10-21,30,peak_btc_gross_face_usd,9700646.8,13826749.366666667,30,30,4126102.5666666664
2020-10-21,loss,2020-10-21,30,peak_to_prior_equity,1.3374162944188792,1.6781029992199419,30,30,0.34068670480106267
2020-10-21,loss,2020-10-21,30,btc_short_hours,17.629320659324076,11.221783568379628,30,30,-6.407537090944448
2020-10-21,matched_control,2020-07-23,1,orders,8.0,1.0,1,1,-7.0
2020-10-21,matched_control,2020-07-23,1,median_order_usd,1500000.0,3000000.0,1,1,1500000.0
2020-10-21,matched_control,2020-07-23,1,peak_btc_gross_face_usd,3000451.0,3000451.0,1,1,0.0
2020-10-21,matched_control,2020-07-23,1,peak_to_prior_equity,0.5781045205091374,0.5399906559382438,1,1,-0.03811386457089361
2020-10-21,matched_control,2020-07-23,1,btc_short_hours,7.642425130555555,0.0,1,1,-7.642425130555555
2020-10-21,matched_control,2020-07-23,7,orders,1.1428571428571428,8.571428571428571,7,7,7.428571428571429
2020-10-21,matched_control,2020-07-23,7,median_order_usd,1500000.0,2875000.0,1,6,1375000.0
2020-10-21,matched_control,2020-07-23,7,peak_btc_gross_face_usd,429001.0,8146184.142857143,7,7,7717183.142857143
2020-10-21,matched_control,2020-07-23,7,peak_to_prior_equity,0.08265653879031813,1.3077913123562475,7,7,1.2251347735659293
2020-10-21,matched_control,2020-07-23,7,btc_short_hours,21.663203590079366,10.452395233492064,7,7,-11.210808356587302
2020-10-21,matched_control,2020-07-23,30,orders,2.6666666666666665,8.233333333333333,30,30,5.566666666666666
2020-10-21,matched_control,2020-07-23,30,median_order_usd,2079105.1764705882,2754863.8541666665,17,24,675758.6776960783
2020-10-21,matched_control,2020-07-23,30,peak_btc_gross_face_usd,4916584.9,10521072.633333333,30,30,5604487.733333332
2020-10-21,matched_control,2020-07-23,30,peak_to_prior_equity,0.9281594340658084,1.4664735170562335,30,30,0.5383140829904252
2020-10-21,matched_control,2020-07-23,30,btc_short_hours,14.301710176092595,11.351567590277778,30,30,-2.9501425858148167
2020-12-28,loss,2020-12-28,1,orders,0.0,2.0,1,1,2.0
2020-12-28,loss,2020-12-28,1,median_order_usd,,5000000.0,0,1,
2020-12-28,loss,2020-12-28,1,peak_btc_gross_face_usd,27946004.0,10001840.0,1,1,-17944164.0
2020-12-28,loss,2020-12-28,1,peak_to_prior_equity,1.914003728162616,0.7062041570416858,1,1,-1.2077995711209302
2020-12-28,loss,2020-12-28,1,btc_short_hours,24.0,24.0,1,1,0.0
2020-12-28,loss,2020-12-28,7,orders,8.857142857142858,6.857142857142857,7,7,-2.000000000000001
2020-12-28,loss,2020-12-28,7,median_order_usd,5000000.0,5800000.0,5,5,800000.0
2020-12-28,loss,2020-12-28,7,peak_btc_gross_face_usd,25172575.714285713,14986689.0,7,7,-10185886.714285713
2020-12-28,loss,2020-12-28,7,peak_to_prior_equity,1.809077221073618,0.9809452937334605,7,7,-0.8281319273401574
2020-12-28,loss,2020-12-28,7,btc_short_hours,16.426094230238096,18.106238255714285,7,7,1.6801440254761886
2020-12-28,loss,2020-12-28,30,orders,8.833333333333334,11.733333333333333,30,30,2.8999999999999986
2020-12-28,loss,2020-12-28,30,median_order_usd,5146509.083333333,5178703.703703703,24,27,32194.620370370336
2020-12-28,loss,2020-12-28,30,peak_btc_gross_face_usd,18564598.033333335,26247254.033333335,30,30,7682656.0
2020-12-28,loss,2020-12-28,30,peak_to_prior_equity,1.4982778896886693,1.2515817596417873,30,30,-0.24669613004688196
2020-12-28,loss,2020-12-28,30,btc_short_hours,11.472942297685185,14.871484831537037,30,30,3.3985425338518525
2020-12-28,matched_control,2020-01-18,1,orders,5.0,32.0,1,1,27.0
2020-12-28,matched_control,2020-01-18,1,median_order_usd,343064.0,1500000.0,1,1,1156936.0
2020-12-28,matched_control,2020-01-18,1,peak_btc_gross_face_usd,1500645.0,9000273.0,1,1,7499628.0
2020-12-28,matched_control,2020-01-18,1,peak_to_prior_equity,0.42260333255941185,2.75851721879599,1,1,2.335913886236578
2020-12-28,matched_control,2020-01-18,1,btc_short_hours,21.64488985555556,24.000000000000004,1,1,2.355110144444442
2020-12-28,matched_control,2020-01-18,7,orders,9.285714285714286,9.857142857142858,7,7,0.5714285714285712
2020-12-28,matched_control,2020-01-18,7,median_order_usd,977507.0,1465215.5,6,6,487708.5
2020-12-28,matched_control,2020-01-18,7,peak_btc_gross_face_usd,2359089.714285714,4729005.0,7,7,2369915.285714286
2020-12-28,matched_control,2020-01-18,7,peak_to_prior_equity,0.7065005986510177,1.3748833840570431,7,7,0.6683827854060255
2020-12-28,matched_control,2020-01-18,7,btc_short_hours,5.19437641170635,23.231388780277776,7,7,18.037012368571425
2020-12-28,matched_control,2020-01-18,30,orders,9.066666666666666,12.333333333333334,30,30,3.2666666666666675
2020-12-28,matched_control,2020-01-18,30,median_order_usd,1585899.0185185184,1406544.7142857143,27,28,-179354.3042328041
2020-12-28,matched_control,2020-01-18,30,peak_btc_gross_face_usd,3151574.2,6889565.9,30,30,3737991.7
2020-12-28,matched_control,2020-01-18,30,peak_to_prior_equity,1.0802511332505427,1.6967467566573506,30,30,0.616495623406808
2020-12-28,matched_control,2020-01-18,30,btc_short_hours,7.367505129046296,22.62104952916667,30,30,15.253544400120372
2021-03-13,loss,2021-03-13,1,orders,2.0,2.0,1,1,0.0
